order_date,customer_id,product_id,product_category_x,revenue,quantity,region,customer_acquisition_channel,product_name,product_category_y,cost_price,list_price,supplier,launch_date,signup_date,age_group,gender,city,customer_type,loyalty_tier,profit_amount,profit_margin,tenure_days,product_age,product_age_days
2023-11-18,C0978,P0011,Accessories,1439.58,3,North East,Organic,Agreement Monitor,Monitors,974.46,1219.45,TechCorp,2023-10-10,2022-07-27,36-45,Male,Cardiff,New,Bronze,-1483.8000000000002,-103.07172925436588,1283,39,39
2023-11-04,C1873,P0025,Tablets,3527.52,3,South East,Organic,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,2019-05-15,2022-12-14,56-65,Male,Newcastle,Returning,Bronze,1777.6200000000001,50.392910600081656,1143,1634,1634
2023-04-13,C0301,P0040,Smartphones,2770.0,2,West Midlands,Organic,They Tablet,Tablets,105.03,152.42,Nova Electronics,2022-02-07,2020-12-10,18-25,Male,Leicester,New,Bronze,2559.94,92.41660649819495,1877,430,430
2023-12-24,C0282,P0014,Smartphones,2822.74,2,Wales,Organic,List Networkin,Networking,784.41,1171.98,Nova Electronics,2024-01-05,2024-06-18,46-55,Female,Leicester,New,Silver,1253.9199999999998,44.422086341639684,591,-12,-12
2024-03-24,C2226,P0090,Networking,1326.72,3,London,Referral,Truth Laptop,Laptops,652.57,934.31,TechCorp,2024-04-26,2021-06-14,36-45,Non-binary,London,New,Bronze,-630.99,-47.560148335745296,1691,-33,-33
2023-11-03,C2718,P0053,Accessories,755.89,1,North West,Organic,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,2019-06-23,2020-12-12,26-35,Female,Leeds,Returning,Silver,-39.5,-5.22562806757597,1875,1594,1594
2023-04-20,C2267,P0025,Tablets,2351.68,2,West Midlands,Organic,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,2019-05-15,2021-05-08,36-45,Female,Sheffield,Returning,Silver,1185.08,50.39291060008164,1728,1436,1436
2023-08-04,C2940,P0078,Laptops,804.42,3,Scotland,Referral,Newspaper Accessorie,Accessories,932.57,1374.88,Digitex,2021-02-20,2023-11-03,26-35,Male,Belfast,Returning,Bronze,-1993.29,-247.7921981054673,819,895,895
2023-09-28,C2071,P0028,Tablets,7884.72,4,West Midlands,Email,Win Laptop,Laptops,195.2,227.21,TechCorp,2022-03-22,2020-07-07,36-45,Female,Leicester,Returning,Silver,7103.92,90.09730212360108,2033,555,555
2023-02-22,C0379,P0012,Monitors,2369.88,4,West Midlands,Organic,Decide Monitor,Monitors,837.93,1129.03,Digitex,2023-08-21,2021-05-20,46-55,Male,Glasgow,Returning,Silver,-981.8399999999997,-41.42994582004151,1716,-180,-180
2023-12-08,C0536,P0090,Networking,1326.72,3,North West,Social,Truth Laptop,Laptops,652.57,934.31,TechCorp,2024-04-26,2023-05-29,46-55,Male,Nottingham,Returning,Bronze,-630.99,-47.560148335745296,977,-140,-140
2024-03-13,C2298,P0017,Tablets,249.31,1,South East,Organic,Save Tablet,Tablets,939.82,1277.42,FutureTek,2022-08-06,2020-04-14,56-65,Female,London,New,Bronze,-690.51,-276.9684328747343,2117,585,585
2023-06-02,C2235,P0010,Networking,1417.58,1,Wales,Referral,Mouth Monitor,Monitors,816.77,1136.86,Digitex,2024-02-14,2022-09-22,36-45,Female,Cardiff,Returning,Gold,600.81,42.38279321096516,1226,-257,-257
2023-06-01,C1761,P0086,Monitors,744.0,2,London,Paid,Coach Tablet,Tablets,895.23,1250.61,TechCorp,2022-11-10,2020-02-26,36-45,Female,Southampton,Returning,Bronze,-1046.46,-140.65322580645162,2165,203,203
2023-02-10,C1466,P0031,Networking,3353.04,2,Scotland,Referral,Present Laptop,Laptops,734.69,1008.5,FutureTek,2022-01-28,2023-02-09,46-55,Female,Edinburgh,Returning,Bronze,1883.6599999999999,56.17767757020494,1086,378,378
2023-12-29,C2294,P0043,Accessories,2288.36,4,North West,Email,Religious Monitor,Monitors,301.8,437.3,Nova Electronics,2021-04-09,2022-08-28,26-35,Female,Belfast,New,Silver,1081.16,47.24606268244507,1251,994,994
2023-08-31,C0666,P0099,Networking,329.6,2,North East,Organic,Brother Accessorie,Accessories,762.0,1120.37,ByteWare,2022-02-01,2021-01-28,26-35,Male,Newcastle,New,Bronze,-1194.4,-362.37864077669906,1828,576,576
2023-12-07,C1687,P0074,Smartphones,1558.26,2,West Midlands,Organic,Collection Smartphone,Smartphones,614.79,828.58,ByteWare,2022-08-04,2023-08-08,26-35,Male,Nottingham,New,Bronze,328.68000000000006,21.09275730622618,906,490,490
2023-04-21,C1567,P0060,Accessories,1081.77,1,South West,Organic,Difference Laptop,Laptops,817.62,1179.32,Quantum Supplies,2023-04-01,2023-12-26,18-25,Female,Cardiff,New,Silver,264.15,24.418314429130035,766,20,20
2024-04-16,C1433,P0030,Accessories,1776.15,3,Scotland,Organic,Finally Monitor,Monitors,552.66,822.6,Quantum Supplies,2024-05-07,2022-03-17,26-35,Non-binary,Sheffield,New,Bronze,118.17000000000007,6.653154294400815,1415,-21,-21
2023-07-17,C1633,P0082,Laptops,651.06,3,West Midlands,Social,Social Tablet,Tablets,199.86,286.5,Digitex,2021-04-08,2020-10-17,26-35,Female,Liverpool,New,Bronze,51.479999999999905,7.907105335913727,1931,830,830
2023-10-13,C1439,P0040,Smartphones,5540.0,4,Wales,Email,They Tablet,Tablets,105.03,152.42,Nova Electronics,2022-02-07,2024-05-29,36-45,Female,Southampton,Returning,Silver,5119.88,92.41660649819495,611,613,613
2023-04-29,C1070,P0048,Networking,1889.52,2,West Midlands,Organic,Common Laptop,Laptops,576.23,769.48,ByteWare,2022-12-07,2021-10-17,36-45,Male,Leeds,New,Bronze,737.06,39.007790338286966,1566,143,143
2024-03-20,C1416,P0008,Monitors,3671.82,3,North East,Referral,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,2019-10-19,2023-02-11,18-25,Female,Birmingham,New,Silver,793.77,21.617889765838193,1084,1614,1614
2024-06-07,C0474,P0036,Networking,1534.88,4,Scotland,Organic,Base Tablet,Tablets,532.28,627.86,FutureTek,2020-12-24,2020-10-15,46-55,Male,London,New,Bronze,-594.2399999999998,-38.715730219952036,1933,1261,1261
2024-03-22,C0007,P0014,Smartphones,2822.74,2,Wales,Paid,List Networkin,Networking,784.41,1171.98,Nova Electronics,2024-01-05,2020-04-28,26-35,Female,Southampton,New,Silver,1253.9199999999998,44.422086341639684,2103,77,77
2023-12-05,C2553,P0072,Tablets,5073.78,3,South East,Social,Traditional Smartphone,Smartphones,615.28,842.99,TechCorp,2019-12-07,2023-05-26,36-45,Female,Southampton,Returning,Silver,3227.9399999999996,63.62002294147558,980,1459,1459
2023-11-04,C2078,P0065,Networking,2140.02,3,North East,Paid,Nothing Accessorie,Accessories,930.19,1315.34,Digitex,2021-03-27,2023-05-22,18-25,Female,Leeds,Returning,Gold,-650.5500000000002,-30.399248605153232,984,952,952
2023-10-30,C2271,P0088,Accessories,3861.02,2,Scotland,Paid,Month Tablet,Tablets,703.12,1013.31,Nova Electronics,2020-07-09,2022-09-06,26-35,Male,Bristol,New,Silver,2454.7799999999997,63.57853624171851,1242,1208,1208
2024-01-24,C2775,P0053,Accessories,1511.78,2,West Midlands,Paid,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,2019-06-23,2022-10-24,26-35,Male,London,New,Bronze,-79.0,-5.22562806757597,1194,1676,1676
2023-01-01,C1245,P0026,Networking,556.89,3,Scotland,Paid,Show Monitor,Monitors,902.93,1137.48,Quantum Supplies,2022-11-28,2023-12-03,56-65,Female,Leicester,New,Bronze,-2151.9,-386.41383397080216,789,34,34
2023-11-26,C1905,P0065,Networking,2853.36,4,South West,Referral,Nothing Accessorie,Accessories,930.19,1315.34,Digitex,2021-03-27,2023-03-18,36-45,Male,Belfast,New,Bronze,-867.4000000000001,-30.399248605153222,1049,974,974
2024-06-07,C1939,P0085,Smartphones,2673.02,2,South East,Organic,Finally Tablet,Tablets,148.41,215.38,FutureTek,2022-09-12,2022-09-01,26-35,Male,Bristol,New,Bronze,2376.2,88.89570598050145,1247,634,634
2023-12-10,C0383,P0090,Networking,884.48,2,West Midlands,Organic,Truth Laptop,Laptops,652.57,934.31,TechCorp,2024-04-26,2020-11-01,36-45,Female,Southampton,New,Bronze,-420.6600000000001,-47.5601483357453,1916,-138,-138
2023-07-23,C0604,P0053,Accessories,755.89,1,London,Organic,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,2019-06-23,2020-11-04,36-45,Male,Cardiff,New,Silver,-39.5,-5.22562806757597,1913,1491,1491
2024-05-01,C2504,P0007,Laptops,476.34,1,South West,Paid,Knowledge Laptop,Laptops,713.23,881.62,Nova Electronics,2019-04-09,2023-06-13,46-55,Female,Edinburgh,New,Silver,-236.89000000000004,-49.73128437670572,962,1849,1849
2023-07-19,C2943,P0088,Accessories,7722.04,4,South West,Paid,Month Tablet,Tablets,703.12,1013.31,Nova Electronics,2020-07-09,2022-08-14,26-35,Female,Southampton,New,Silver,4909.5599999999995,63.57853624171851,1265,1105,1105
2023-06-01,C2688,P0020,Laptops,1472.98,1,South East,Social,Source Networkin,Networking,579.1,795.59,FutureTek,2021-11-11,2022-08-21,26-35,Male,London,Returning,Bronze,893.88,60.685141685562606,1258,567,567
2023-08-13,C0721,P0090,Networking,1768.96,4,London,Referral,Truth Laptop,Laptops,652.57,934.31,TechCorp,2024-04-26,2020-10-18,18-25,Prefer not to say,Glasgow,New,Gold,-841.3200000000002,-47.5601483357453,1930,-257,-257
2023-05-05,C1870,P0023,Tablets,3334.68,2,South West,Referral,Her Monitor,Monitors,348.94,475.32,FutureTek,2021-12-04,2020-08-13,36-45,Female,Cardiff,New,Bronze,2636.7999999999997,79.0720548898245,1996,517,517
2023-11-21,C1813,P0071,Laptops,6990.04,4,South West,Social,Benefit Smartphone,Smartphones,962.74,1089.86,TechCorp,2019-05-27,2023-01-05,26-35,Female,Leicester,Returning,Silver,3139.08,44.90789752276096,1121,1639,1639
2024-05-01,C1844,P0080,Tablets,1550.79,3,Scotland,Social,Response Laptop,Laptops,560.75,730.29,TechCorp,2019-12-22,2021-12-12,26-35,Female,Southampton,New,Silver,-131.46000000000004,-8.476969802487767,1510,1592,1592
2023-10-11,C2136,P0049,Tablets,1289.12,4,Scotland,Organic,Hundred Laptop,Laptops,722.45,811.71,TechCorp,2021-04-18,2021-08-01,26-35,Male,Newcastle,New,Bronze,-1600.6800000000003,-124.168424972074,1643,906,906
2023-03-21,C2923,P0030,Accessories,1776.15,3,Scotland,Organic,Finally Monitor,Monitors,552.66,822.6,Quantum Supplies,2024-05-07,2022-10-18,26-35,Male,Bristol,New,Bronze,118.17000000000007,6.653154294400815,1200,-413,-413
2023-11-24,C2213,P0040,Smartphones,1385.0,1,North West,Organic,They Tablet,Tablets,105.03,152.42,Nova Electronics,2022-02-07,2020-07-26,36-45,Female,Leeds,Returning,Bronze,1279.97,92.41660649819495,2014,655,655
2024-01-28,C2843,P0013,Laptops,3059.34,2,Scotland,Organic,Kind Tablet,Tablets,232.67,262.41,ByteWare,2020-11-15,2023-02-20,36-45,Female,Manchester,New,Bronze,2594.0,84.78952976785841,1075,1169,1169
2024-02-22,C1356,P0032,Smartphones,3087.4,4,North East,Organic,Participant Monitor,Monitors,780.17,964.34,Digitex,2020-08-20,2024-01-05,26-35,Female,Liverpool,New,Bronze,-33.279999999999745,-1.0779296495432968,756,1281,1281
2024-03-06,C1596,P0075,Smartphones,1101.79,1,North East,Paid,Pick Accessorie,Accessories,604.49,791.35,FutureTek,2019-07-17,2020-08-24,26-35,Male,Sheffield,New,Silver,497.29999999999995,45.135642908358214,1985,1694,1694
2023-12-27,C1224,P0015,Tablets,2367.4,4,North East,Paid,Fall Smartphone,Smartphones,411.12,526.79,TechCorp,2019-01-21,2022-09-04,46-55,Female,Nottingham,Returning,Silver,722.9200000000001,30.536453493283773,1244,1801,1801
2023-08-14,C2000,P0046,Tablets,929.24,2,West Midlands,Paid,Congress Networkin,Networking,404.75,590.87,FutureTek,2023-07-18,2021-12-01,36-45,Female,Cardiff,New,Bronze,119.74000000000001,12.885799147690586,1521,27,27
2023-01-30,C1593,P0075,Smartphones,3305.37,3,North East,Social,Pick Accessorie,Accessories,604.49,791.35,FutureTek,2019-07-17,2023-03-02,26-35,Male,Bristol,New,Gold,1491.8999999999999,45.135642908358214,1065,1293,1293
2024-04-23,C0523,P0067,Accessories,56.33,1,North East,Referral,Later Monitor,Monitors,732.49,851.09,FutureTek,2023-12-18,2023-08-19,26-35,Male,Edinburgh,New,Bronze,-676.16,-1200.3550505947096,895,127,127
2023-01-28,C0344,P0039,Networking,5567.68,4,North West,Social,Long Laptop,Laptops,884.79,1267.61,Digitex,2024-05-29,2021-08-10,26-35,Prefer not to say,Glasgow,Returning,Silver,2028.5200000000004,36.433846772803044,1634,-487,-487
2023-07-06,C0206,P0016,Smartphones,5749.71,3,North East,Paid,Song Tablet,Tablets,401.67,475.5,Nova Electronics,2020-05-11,2022-09-07,26-35,Female,Cardiff,Returning,Silver,4544.7,79.04224734812712,1241,1151,1151
2024-04-10,C1339,P0043,Accessories,1716.27,3,North East,Organic,Religious Monitor,Monitors,301.8,437.3,Nova Electronics,2021-04-09,2020-02-28,36-45,Male,Southampton,New,Bronze,810.8699999999999,47.246062682445064,2163,1097,1097
2024-03-07,C1034,P0021,Monitors,293.41,1,South West,Organic,Blue Laptop,Laptops,830.71,1181.28,Nova Electronics,2019-10-16,2023-09-22,36-45,Male,London,Returning,Gold,-537.3,-183.1225929586585,861,1604,1604
2023-02-23,C1434,P0100,Laptops,3631.14,2,South East,Social,Unit Smartphone,Smartphones,977.4,1392.12,Nova Electronics,2021-08-13,2020-08-12,26-35,Male,Leicester,New,Silver,1676.34,46.16566698061766,1997,559,559
2023-02-11,C0128,P0008,Monitors,2447.88,2,Scotland,Social,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,2019-10-19,2022-08-09,46-55,Non-binary,Cardiff,Returning,Bronze,529.1800000000001,21.617889765838196,1270,1211,1211
2023-06-06,C0978,P0075,Smartphones,2203.58,2,South West,Referral,Pick Accessorie,Accessories,604.49,791.35,FutureTek,2019-07-17,2022-07-27,36-45,Male,Cardiff,New,Bronze,994.5999999999999,45.135642908358214,1283,1420,1420
2023-08-12,C1905,P0044,Smartphones,5491.86,3,Wales,Organic,Science Accessorie,Accessories,932.47,1307.42,Nova Electronics,2019-08-10,2023-03-18,36-45,Male,Belfast,New,Bronze,2694.45,49.06261266674679,1049,1463,1463
2023-04-28,C0671,P0067,Accessories,168.99,3,South East,Referral,Later Monitor,Monitors,732.49,851.09,FutureTek,2023-12-18,2020-02-14,18-25,Male,Liverpool,Returning,Silver,-2028.4800000000002,-1200.3550505947098,2177,-234,-234
2023-11-16,C2359,P0049,Tablets,1289.12,4,North East,Email,Hundred Laptop,Laptops,722.45,811.71,TechCorp,2021-04-18,2021-08-30,65+,Female,Newcastle,Returning,Bronze,-1600.6800000000003,-124.168424972074,1614,942,942
2023-07-23,C0312,P0008,Monitors,2447.88,2,South East,Referral,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,2019-10-19,2022-01-19,36-45,Female,Sheffield,Returning,Bronze,529.1800000000001,21.617889765838196,1472,1373,1373
2023-11-05,C2803,P0034,Networking,1876.48,1,London,Paid,Answer Networkin,Networking,300.22,390.36,FutureTek,2020-12-09,2022-01-02,36-45,Male,Cardiff,New,Gold,1576.26,84.00089529331514,1489,1061,1061
2024-03-14,C2710,P0004,Laptops,4108.68,3,South East,Paid,Chair Laptop,Laptops,271.03,363.4,Nova Electronics,2019-11-15,2021-07-14,46-55,Female,Edinburgh,Returning,Bronze,3295.59,80.21043254767955,1661,1581,1581
2023-12-16,C0052,P0032,Smartphones,3087.4,4,South West,Organic,Participant Monitor,Monitors,780.17,964.34,Digitex,2020-08-20,2023-03-09,36-45,Male,Newcastle,New,Gold,-33.279999999999745,-1.0779296495432968,1058,1213,1213
2024-01-06,C2604,P0024,Monitors,7106.52,4,North West,Paid,Pm Accessorie,Accessories,485.91,585.98,FutureTek,2021-04-01,2021-06-14,18-25,Male,Leicester,New,Silver,5162.88,72.64990459465392,1691,1010,1010
2024-06-18,C2665,P0068,Networking,5273.73,3,South West,Paid,Inside Tablet,Tablets,970.27,1292.08,Nova Electronics,2022-01-29,2020-09-08,26-35,Female,London,Returning,Silver,2362.9199999999996,44.80547923386294,1970,871,871
2023-10-02,C1321,P0080,Tablets,1033.86,2,South East,Organic,Response Laptop,Laptops,560.75,730.29,TechCorp,2019-12-22,2020-07-02,26-35,Female,London,Returning,Silver,-87.6400000000001,-8.476969802487774,2038,1380,1380
2024-04-06,C0999,P0036,Networking,1534.88,4,North East,Paid,Base Tablet,Tablets,532.28,627.86,FutureTek,2020-12-24,2021-08-22,26-35,Female,London,New,Bronze,-594.2399999999998,-38.715730219952036,1622,1199,1199
2024-05-21,C1332,P0059,Accessories,1588.32,2,South West,Organic,Under Accessorie,Accessories,314.62,377.52,Nova Electronics,2021-09-04,2020-10-19,36-45,Female,Cardiff,New,Silver,959.0799999999999,60.383298075954464,1929,990,990
2023-09-22,C1395,P0095,Smartphones,524.55,3,West Midlands,Referral,Notice Monitor,Monitors,190.69,219.48,ByteWare,2023-07-06,2023-05-02,26-35,Male,Manchester,New,Bronze,-47.51999999999998,-9.059193594509576,1004,78,78
2024-06-13,C0783,P0021,Monitors,293.41,1,Scotland,Social,Blue Laptop,Laptops,830.71,1181.28,Nova Electronics,2019-10-16,2022-06-21,36-45,Female,Cardiff,New,Bronze,-537.3,-183.1225929586585,1319,1702,1702
2024-05-15,C2275,P0003,Smartphones,644.2,2,South West,Referral,Election Monitor,Monitors,610.97,679.83,TechCorp,2020-11-24,2023-06-10,18-25,Female,Southampton,Returning,Bronze,-577.74,-89.68332815895684,965,1268,1268
2024-05-17,C1836,P0035,Networking,189.23,1,South East,Organic,Spring Smartphone,Smartphones,917.0,1328.01,ByteWare,2021-06-18,2021-10-30,26-35,Female,Sheffield,New,Gold,-727.77,-384.595465835227,1553,1064,1064
2024-02-19,C2834,P0016,Smartphones,3833.14,2,West Midlands,Referral,Song Tablet,Tablets,401.67,475.5,Nova Electronics,2020-05-11,2020-06-09,36-45,Female,Edinburgh,Returning,Bronze,3029.7999999999997,79.04224734812712,2061,1379,1379
2024-01-13,C1939,P0073,Monitors,3712.47,3,North East,Email,Claim Smartphone,Smartphones,163.89,238.64,Quantum Supplies,2024-05-03,2022-09-01,26-35,Male,Bristol,New,Bronze,3220.7999999999997,86.75625661621508,1247,-111,-111
2023-12-05,C1442,P0045,Monitors,7035.68,4,West Midlands,Paid,Politics Networkin,Networking,727.3,916.1,Nova Electronics,2024-05-26,2022-06-01,26-35,Male,Cardiff,New,Bronze,4126.4800000000005,58.65076296818502,1339,-173,-173
2023-08-25,C0495,P0067,Accessories,112.66,2,Wales,Organic,Later Monitor,Monitors,732.49,851.09,FutureTek,2023-12-18,2023-07-14,56-65,Female,Birmingham,New,Bronze,-1352.32,-1200.3550505947096,931,-115,-115
2023-07-09,C0785,P0051,Tablets,3013.36,2,South West,Organic,Rise Smartphone,Smartphones,685.53,812.83,Digitex,2023-09-27,2024-06-04,46-55,Female,Belfast,Returning,Bronze,1642.3000000000002,54.50062388828418,605,-80,-80
2024-06-21,C2445,P0045,Monitors,5276.76,3,South East,Social,Politics Networkin,Networking,727.3,916.1,Nova Electronics,2024-05-26,2021-08-31,26-35,Female,Leicester,New,Gold,3094.8600000000006,58.650762968185035,1613,26,26
2023-10-31,C0932,P0031,Networking,5029.56,3,North West,Paid,Present Laptop,Laptops,734.69,1008.5,FutureTek,2022-01-28,2023-08-23,36-45,Female,Birmingham,Returning,Bronze,2825.4900000000002,56.177677570204956,891,641,641
2024-06-30,C0519,P0056,Laptops,1044.12,3,London,Email,Institution Networkin,Networking,984.96,1122.23,FutureTek,2021-04-11,2021-03-27,65+,Female,Leicester,New,Bronze,-1910.7600000000002,-183.001953798414,1770,1176,1176
2023-10-27,C2857,P0012,Monitors,1184.94,2,South West,Organic,Decide Monitor,Monitors,837.93,1129.03,Digitex,2023-08-21,2020-01-12,26-35,Female,Southampton,New,Bronze,-490.91999999999985,-41.42994582004151,2210,67,67
2023-01-13,C2352,P0099,Networking,494.4,3,South West,Paid,Brother Accessorie,Accessories,762.0,1120.37,ByteWare,2022-02-01,2022-09-15,26-35,Female,Leeds,New,Gold,-1791.6,-362.37864077669906,1233,346,346
2023-12-15,C0756,P0035,Networking,189.23,1,West Midlands,Email,Spring Smartphone,Smartphones,917.0,1328.01,ByteWare,2021-06-18,2022-08-27,26-35,Female,Edinburgh,Returning,Silver,-727.77,-384.595465835227,1252,910,910
2024-05-04,C0468,P0008,Monitors,1223.94,1,North East,Paid,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,2019-10-19,2020-06-25,26-35,Prefer not to say,Leeds,New,Silver,264.59000000000003,21.617889765838196,2045,1659,1659
2023-02-24,C0622,P0100,Laptops,3631.14,2,West Midlands,Organic,Unit Smartphone,Smartphones,977.4,1392.12,Nova Electronics,2021-08-13,2023-02-20,26-35,Female,Sheffield,Returning,Bronze,1676.34,46.16566698061766,1075,560,560
2023-09-12,C0486,P0046,Tablets,1858.48,4,Scotland,Social,Congress Networkin,Networking,404.75,590.87,FutureTek,2023-07-18,2020-12-17,46-55,Female,Nottingham,New,Bronze,239.48000000000002,12.885799147690586,1870,56,56
2024-01-25,C1846,P0035,Networking,756.92,4,West Midlands,Social,Spring Smartphone,Smartphones,917.0,1328.01,ByteWare,2021-06-18,2021-07-02,46-55,Male,Liverpool,New,Silver,-2911.08,-384.595465835227,1673,951,951
2024-03-15,C1251,P0028,Tablets,1971.18,1,South East,Email,Win Laptop,Laptops,195.2,227.21,TechCorp,2022-03-22,2020-11-04,65+,Female,Belfast,New,Bronze,1775.98,90.09730212360108,1913,724,724
2023-08-01,C2563,P0033,Smartphones,2713.68,2,West Midlands,Referral,Sea Tablet,Tablets,200.25,220.53,Quantum Supplies,2019-08-05,2020-03-14,36-45,Female,Birmingham,New,Bronze,2313.18,85.24144335367471,2148,1457,1457
2023-06-10,C0983,P0081,Smartphones,3524.24,2,South East,Organic,Rest Smartphone,Smartphones,886.82,1287.4,Digitex,2023-07-27,2022-05-12,36-45,Male,Leicester,New,Silver,1750.5999999999997,49.67312101332485,1359,-47,-47
2024-02-23,C1846,P0053,Accessories,3023.56,4,West Midlands,Organic,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,2019-06-23,2021-07-02,46-55,Male,Liverpool,New,Silver,-158.0,-5.22562806757597,1673,1706,1706
2023-10-23,C2896,P0062,Laptops,4129.65,3,South West,Organic,Low Laptop,Laptops,930.05,1338.79,TechCorp,2020-03-19,2021-05-28,18-25,Female,Belfast,New,Silver,1339.5,32.43616287094548,1708,1313,1313
2023-08-28,C1084,P0009,Monitors,875.46,2,North East,Organic,Discover Laptop,Laptops,141.88,204.17,Quantum Supplies,2020-12-23,2023-03-22,46-55,Female,Glasgow,Returning,Bronze,591.7,67.58732552029791,1045,978,978
